Errors:
• POI 284e6cfe-7343-4474-8029-956e934fd1eb: Missing coordinates
• Upload 00e952bd-a3b8-4f19-bcd3-ad2ada0e7368_photo.jpg: Upload failed: 400
• Upload 00e952bd-a3b8-4f19-bcd3-ad2ada0e7368_photo_1.jpg: Upload failed: 400
• Upload 11c62dca-99f0-4a2d-af8d-faf692d0b469_photo.jpg: Upload failed: 400
• Upload 11c62dca-99f0-4a2d-af8d-faf692d0b469_photo_1.jpg: Upload failed: 400
• Upload 1214cfa9-a302-465e-b920-e70e2f22f690_photo.jpg: Upload failed: 400
• Upload 1214cfa9-a302-465e-b920-e70e2f22f690_photo_1.jpg: Upload failed: 400
• Upload 16d6c58b-cf3d-4d98-a460-b9491ed8b1c3_photo.jpg: Upload failed: 400
• Upload 16d6c58b-cf3d-4d98-a460-b9491ed8b1c3_photo_1.jpg: Upload failed: 400
• Upload 208036e0-fb45-4dd2-99a4-2f9315113e38_photo.jpg: Upload failed: 400
• Upload 208036e0-fb45-4dd2-99a4-2f9315113e38_photo_1.jpg: Upload failed: 400
• Upload 26149c94-dba9-4584-b79f-b3d65ca86e7c_photo.jpg: Upload failed: 400
• Upload 26149c94-dba9-4584-b79f-b3d65ca86e7c_photo_1.jpg: Upload failed: 400
• Upload 33ea8d68-e54f-47df-b1b8-749cd58abf17_photo.jpg: Upload failed: 400
• Upload 33ea8d68-e54f-47df-b1b8-749cd58abf17_photo_1.jpg: Upload failed: 400
• Upload 36f27a40-8295-4a1f-9654-32ec4df2cf2d_photo.jpg: Upload failed: 400
• Upload 36f27a40-8295-4a1f-9654-32ec4df2cf2d_photo_1.jpg: Upload failed: 400
• Upload 3b985701-34fc-49ea-b872-480630142cf7_photo.jpg: Upload failed: 400
• Upload 3b985701-34fc-49ea-b872-480630142cf7_photo_1.jpg: Upload failed: 400
• Upload 7181817d-e8ed-4958-8bf7-2db2d5832793_photo.jpg: Upload failed: 400
• Upload 7181817d-e8ed-4958-8bf7-2db2d5832793_photo_1.jpg: Upload failed: 400
• Upload 7225a5f8-63c7-43a9-b769-91d5c84b2520_photo.jpg: Upload failed: 400
• Upload 7225a5f8-63c7-43a9-b769-91d5c84b2520_photo_1.jpg: Upload failed: 400
• Upload 7e0fc3aa-da83-49b9-8c5e-df10fa5dc0fb_photo.jpg: Upload failed: 400
• Upload 7e0fc3aa-da83-49b9-8c5e-df10fa5dc0fb_photo_1.jpg: Upload failed: 400
• Upload 93f56d5b-037e-4627-9723-10ec6742bade_photo.jpg: Upload failed: 400
• Upload 93f56d5b-037e-4627-9723-10ec6742bade_photo_1.jpg: Upload failed: 400
• Upload 992a8b5b-0243-4716-9f25-d26a9645f1fd_photo.jpg: Upload failed: 400
• Upload 992a8b5b-0243-4716-9f25-d26a9645f1fd_photo_1.jpg: Upload failed: 400
• Upload 99be16cf-5d10-48eb-8166-7c21e1834705_photo.jpg: Upload failed: 400
• Upload 99be16cf-5d10-48eb-8166-7c21e1834705_photo_1.jpg: Upload failed: 400
• Upload a13cacce-17cc-4b61-ac49-2a0dd52a4fe9_photo.jpg: Upload failed: 400
• Upload a13cacce-17cc-4b61-ac49-2a0dd52a4fe9_photo_1.jpg: Upload failed: 400
• Upload a328e62f-3724-4e90-848d-e8576ca1c478_photo.jpg: Upload failed: 400
• Upload a328e62f-3724-4e90-848d-e8576ca1c478_photo_1.jpg: Upload failed: 400
• Upload b45c68a7-2fd9-4727-a3f0-a52288a4c264_photo.jpg: Upload failed: 400
• Upload b45c68a7-2fd9-4727-a3f0-a52288a4c264_photo_1.jpg: Upload failed: 400
• Upload b51eddd4-eaef-4000-8c2e-24371c9372b3_photo.jpg: Upload failed: 400
• Upload b51eddd4-eaef-4000-8c2e-24371c9372b3_photo_1.jpg: Upload failed: 400
• Upload c281f94f-f773-494a-a970-7adb16b192b1_photo.jpg: Upload failed: 400
• Upload c281f94f-f773-494a-a970-7adb16b192b1_photo_1.jpg: Upload failed: 400
• Upload c394a831-fbbc-405e-b795-a44221e4503c_photo.jpg: Upload failed: 400
• Upload c394a831-fbbc-405e-b795-a44221e4503c_photo_1.jpg: Upload failed: 400
• Upload c7661426-3cfb-41d4-9ce8-84b98eae4874_photo.jpg: Upload failed: 400
• Upload c7661426-3cfb-41d4-9ce8-84b98eae4874_photo_1.jpg: Upload failed: 400
• Upload cd0a6aa5-6535-4374-ab7e-26e329d77a85_photo.jpg: Upload failed: 400
• Upload cd0a6aa5-6535-4374-ab7e-26e329d77a85_photo_1.jpg: Upload failed: 400
• Upload cdd90d40-06b2-470e-8b40-a0869518b432_photo.jpg: Upload failed: 400
• Upload cdd90d40-06b2-470e-8b40-a0869518b432_photo_1.jpg: Upload failed: 400
• Upload cdd90d40-06b2-470e-8b40-a0869518b432_photo_2.jpg: Upload failed: 400
• Upload df7d7ec8-a25f-4fc3-ba0e-8f0d105aa596_photo.jpg: Upload failed: 400
• Upload df7d7ec8-a25f-4fc3-ba0e-8f0d105aa596_photo_1.jpg: Upload failed: 400
• Upload e768e69b-25f6-4754-8e49-f451ca98dc64_photo.jpg: Upload failed: 400
• Upload e768e69b-25f6-4754-8e49-f451ca98dc64_photo_1.jpg: Upload failed: 400
• Upload f0049b35-10a2-4aac-8671-85f9e1590bd4_photo.jpg: Upload failed: 400
• Upload f0049b35-10a2-4aac-8671-85f9e1590bd4_photo_1.jpg: Upload failed: 400
• Upload f03d4504-2319-4f88-a9c2-7626082b0ef0_photo.jpg: Upload failed: 400
• Upload f03d4504-2319-4f88-a9c2-7626082b0ef0_photo_1.jpg: Upload failed: 400
• Upload f3d1c9cf-3cc9-4b82-a53d-0580b41ca7c1_photo.jpg: Upload failed: 400
